"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"BiologickĂ© centrum AV ÄŚR, v. v. i.","783,433","37Â 838,761","0,000","4Â 850,866","799,685","439,110","43Â 928,422","H14_ico_60077344.xlsx","http://www.isvav.cz/h14/export/H14_ico_60077344.xlsx"
"BiotechnologickĂ˝ Ăşstav AV ÄŚR, v. v. i.","55,390","5Â 326,703","0,000","682,472","172,101","633,166","6Â 814,442","H14_ico_86652036.xlsx","http://www.isvav.cz/h14/export/H14_ico_86652036.xlsx"
"BotanickĂ˝ Ăşstav AV ÄŚR, v. v. i.","451,880","25Â 104,188","2Â 000,000","2Â 753,742","850,793","45,789","30Â 754,512","H14_ico_67985939.xlsx","http://www.isvav.cz/h14/export/H14_ico_67985939.xlsx"
"CASRI - vÄ›deckĂ© a servisnĂ­ pracoviĹˇtÄ› tÄ›lesnĂ© vĂ˝chovy","5,617","62,421","0,000","25,878","20,999","209,373","318,671","H14_ico_49366378.xlsx","http://www.isvav.cz/h14/export/H14_ico_49366378.xlsx"
"CENIA, ÄŤeskĂˇ informaÄŤnĂ­ agentura ĹľivotnĂ­ho prostĹ™edĂ­","9,109","83,811","0,000","29,808","96,090","150,319","360,028","H14_ico_45249130.xlsx","http://www.isvav.cz/h14/export/H14_ico_45249130.xlsx"
"Centrum dopravnĂ­ho vĂ˝zkumu, v.v.i.","61,235","991,741","0,000","463,307","3Â 195,299","1Â 451,482","6Â 101,829","H14_ico_44994575.xlsx","http://www.isvav.cz/h14/export/H14_ico_44994575.xlsx"
"Centrum ekonomickĂ˝ch studiĂ­ VysokĂ© Ĺˇkoly ekonomie a managementu, o.p.s.","14,433","263,976","0,000","36,394","0,000","0,000","300,370","H14_ico_25473361.xlsx","http://www.isvav.cz/h14/export/H14_ico_25473361.xlsx"
"Centrum hydraulickĂ©ho vĂ˝zkumu spol. s r.o.","0,000","0,000","0,000","0,000","69,533","0,000","69,533","H14_ico_28645413.xlsx","http://www.isvav.cz/h14/export/H14_ico_28645413.xlsx"
"Centrum kardiovaskulĂˇrnĂ­ a transplantaÄŤnĂ­ chirurgie","55,830","739,456","0,000","78,314","58,508","0,000","876,278","H14_ico_00209775.xlsx","http://www.isvav.cz/h14/export/H14_ico_00209775.xlsx"
"Centrum organickĂ© chemie s.r.o.","6,931","200,623","0,000","62,249","682,572","213,411","1Â 158,855","H14_ico_28778758.xlsx","http://www.isvav.cz/h14/export/H14_ico_28778758.xlsx"
"Centrum pro bezpeÄŤnĂ˝ stĂˇt o.s.","0,000","0,000","0,000","0,000","130,822","0,000","130,822","H14_ico_22686860.xlsx","http://www.isvav.cz/h14/export/H14_ico_22686860.xlsx"
"Centrum pro studium vysokĂ©ho ĹˇkolstvĂ­, v.v.i.","22,910","369,335","0,000","44,335","0,000","0,000","413,670","H14_ico_00237752.xlsx","http://www.isvav.cz/h14/export/H14_ico_00237752.xlsx"
"Centrum vĂ˝zkumu globĂˇlnĂ­ zmÄ›ny AV ÄŚR, v. v. i.","178,675","8Â 971,057","0,000","977,821","470,540","37,993","10Â 457,411","H14_ico_67179843.xlsx","http://www.isvav.cz/h14/export/H14_ico_67179843.xlsx"
"Centrum vĂ˝zkumu ĹeĹľ s.r.o.","65,483","1Â 595,260","0,000","664,976","2Â 719,968","2Â 023,653","7Â 003,857","H14_ico_26722445.xlsx","http://www.isvav.cz/h14/export/H14_ico_26722445.xlsx"
"CESNET - zĂˇjmovĂ© sdruĹľenĂ­ prĂˇvnickĂ˝ch osob","88,239","1Â 394,803","0,000","391,483","361,563","2Â 052,372","4Â 200,221","H14_ico_63839172.xlsx","http://www.isvav.cz/h14/export/H14_ico_63839172.xlsx"
"ChmelaĹ™skĂ˝ institut s.r.o.","27,880","551,150","0,000","190,981","350,295","715,572","1Â 807,998","H14_ico_14864347.xlsx","http://www.isvav.cz/h14/export/H14_ico_14864347.xlsx"
"COMTES FHT a.s.","51,635","680,323","0,000","346,219","1Â 781,867","1Â 501,425","4Â 309,834","H14_ico_26316919.xlsx","http://www.isvav.cz/h14/export/H14_ico_26316919.xlsx"
"CZECHDESIGN.CZ, o.s.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_26633191.xlsx","http://www.isvav.cz/h14/export/H14_ico_26633191.xlsx"
"ÄŚeskĂˇ geologickĂˇ sluĹľba","412,457","12Â 282,517","0,000","3Â 569,787","669,122","15Â 951,764","32Â 473,190","H14_ico_00025798.xlsx","http://www.isvav.cz/h14/export/H14_ico_00025798.xlsx"
"ÄŚeskĂˇ kosmickĂˇ kancelĂˇĹ™ o.p.s.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_27142949.xlsx","http://www.isvav.cz/h14/export/H14_ico_27142949.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Centrum pro dalĹˇĂ­ vzdÄ›lĂˇvĂˇnĂ­ a poradenstvĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_41650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41650.xlsx"
