"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"Institut klinickĂ© a experimentĂˇlnĂ­ mediciny","709,187","16Â 818,996","0,000","2Â 931,063","2Â 306,795","0,000","22Â 056,854","H14_ico_00023001.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023001.xlsx"
"Institut postgraduĂˇlnĂ­ho vzdÄ›lĂˇvĂˇnĂ­ ve zdravotnictvĂ­","7,627","171,887","0,000","36,608","0,000","0,000","208,495","H14_ico_00023841.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023841.xlsx"
"Institut pro kriminologii a sociĂˇlnĂ­ prevenci","85,458","1Â 630,616","0,000","188,001","52,947","0,000","1Â 871,564","H14_ico_48136841.xlsx","http://www.isvav.cz/h14/export/H14_ico_48136841.xlsx"
"Institut umÄ›nĂ­ - DivadelnĂ­ Ăşstav","55,348","1Â 056,787","0,000","145,177","167,489","0,000","1Â 369,453","H14_ico_00023205.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023205.xlsx"
"Intemac Solutions, s.r.o.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_02277387.xlsx","http://www.isvav.cz/h14/export/H14_ico_02277387.xlsx"
"InĹľenĂ˝rskĂˇ akademie ÄŚeskĂ© republiky, o.s.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_60445815.xlsx","http://www.isvav.cz/h14/export/H14_ico_60445815.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / DivadelnĂ­ fakulta","4,763","127,738","0,000","13,739","0,000","0,000","141,477","H14_orjk_54530.xlsx","http://www.isvav.cz/h14/export/H14_orjk_54530.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / Divadlo na OrlĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_54710.xlsx","http://www.isvav.cz/h14/export/H14_orjk_54710.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / HudebnĂ­ fakulta","2,000","6,569","0,000","0,000","0,000","0,000","6,569","H14_orjk_54510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_54510.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / InformaÄŤnĂ­ centrum ASTORKA","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_54610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_54610.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / (nerozliĹˇenĂˇ souÄŤĂˇst)","52,230","1Â 616,781","0,000","171,767","0,000","0,000","1Â 788,548","H14_ico_62156462_.xlsx","http://www.isvav.cz/h14/export/H14_ico_62156462_.xlsx"
"JanĂˇÄŤkova akademie mĂşzickĂ˝ch umÄ›nĂ­ v BrnÄ› / RektorĂˇt","3,888","97,401","0,000","27,597","0,000","0,000","124,998","H14_orjk_54810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_54810.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / BritskĂ© centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12700.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12700.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / Centrum informaÄŤnĂ­ch technologiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12670.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12670.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / EkonomickĂˇ fakulta","291,198","3Â 514,254","0,000","466,321","116,587","465,376","4Â 562,538","H14_orjk_12510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12510.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / EvropskĂ© informaÄŤnĂ­ centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12680.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12680.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / Fakulta rybĂˇĹ™stvĂ­ a ochrany vod","410,303","19Â 090,838","0,000","2Â 406,177","468,537","2Â 188,184","24Â 153,736","H14_orjk_12520.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12520.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / FilozofickĂˇ fakulta","279,349","5Â 917,121","0,000","1Â 011,177","0,000","0,000","6Â 928,298","H14_orjk_12210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12210.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / Goethe-Zentrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12710.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12710.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / Institut pro etiku hospodĂˇĹ™stvĂ­ a regionĂˇlnĂ­ rozvoj","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12690.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / JazykovĂ© centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12660.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12660.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","77,616","0,000","0,000","77,616","H14_ico_60076658_.xlsx","http://www.isvav.cz/h14/export/H14_ico_60076658_.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / PedagogickĂˇ fakulta","274,261","4Â 854,740","0,000","512,841","0,000","116,213","5Â 483,794","H14_orjk_12410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12410.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / PĹ™Ă­rodovÄ›deckĂˇ fakulta","499,937","25Â 303,785","0,000","2Â 477,614","66,258","0,000","27Â 847,657","H14_orjk_12310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12310.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / RektorĂˇt","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12810.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / Ĺ kolskĂ˝ zemÄ›dÄ›lskĂ˝ podnik","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_12620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12620.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / TeologickĂˇ fakulta","171,115","3Â 420,747","0,000","305,220","0,000","0,000","3Â 725,967","H14_orjk_12260.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12260.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / VĂ˝zkumnĂ˝ Ăşstav rybĂˇĹ™skĂ˝ a hydrobiologickĂ˝","0,000","0,000","0,000","167,463","117,433","0,000","284,896","H14_orjk_12610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12610.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / ZdravotnÄ› sociĂˇlnĂ­ fakulta","186,707","1Â 981,699","0,000","245,171","49,651","0,000","2Â 276,521","H14_orjk_12110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12110.xlsx"
"JihoÄŤeskĂˇ univerzita v ÄŚeskĂ˝ch BudÄ›jovicĂ­ch / ZemÄ›dÄ›lskĂˇ fakulta","295,923","6Â 269,600","0,000","1Â 047,153","644,619","2Â 141,742","10Â 103,114","H14_orjk_12220.xlsx","http://www.isvav.cz/h14/export/H14_orjk_12220.xlsx"
"Knihovna AV ÄŚR, v. v. i.","10,147","101,148","0,000","44,054","209,767","182,202","537,171","H14_ico_67985971.xlsx","http://www.isvav.cz/h14/export/H14_ico_67985971.xlsx"
"Masarykova univerzita / Archiv","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14700.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14700.xlsx"
"Masarykova univerzita / Centrum jazykovĂ©ho vzdÄ›lĂˇvĂˇnĂ­","22,210","331,385","0,000","19,899","0,000","0,000","351,284","H14_orjk_14640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14640.xlsx"
"Masarykova univerzita / Centrum obÄŤanskĂ©ho vzdÄ›lĂˇvĂˇnĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14730.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14730.xlsx"
"Masarykova univerzita / Centrum pro dalĹˇĂ­ vzdÄ›lĂˇvĂˇnĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14660.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14660.xlsx"
"Masarykova univerzita / Centrum pro transfer technologiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14720.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14720.xlsx"
"Masarykova univerzita / Centrum zahraniÄŤnĂ­ch studiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14600.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14600.xlsx"
"Masarykova univerzita / Ekonomicko-sprĂˇvnĂ­ fakulta","473,700","5Â 070,504","0,000","495,866","17,261","43,556","5Â 627,187","H14_orjk_14560.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14560.xlsx"
"Masarykova univerzita / Fakulta informatiky","486,491","11Â 535,203","0,000","1Â 524,253","681,071","1Â 885,157","15Â 625,684","H14_orjk_14330.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14330.xlsx"
"Masarykova univerzita / Fakulta sociĂˇlnĂ­ch studiĂ­","727,696","11Â 921,029","0,000","1Â 272,077","166,328","23,453","13Â 382,887","H14_orjk_14230.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14230.xlsx"
"Masarykova univerzita / Fakulta sportovnĂ­ch studiĂ­","111,889","1Â 355,325","0,000","142,432","3,922","0,000","1Â 501,679","H14_orjk_14510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14510.xlsx"
"Masarykova univerzita / FilozofickĂˇ fakulta","1Â 477,198","25Â 999,250","0,000","2Â 791,730","267,877","23,453","29Â 082,310","H14_orjk_14210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14210.xlsx"
"Masarykova univerzita / Institut biostatistiky a analĂ˝z","10,040","113,406","0,000","25,967","164,795","52,325","356,493","H14_orjk_14710.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14710.xlsx"
"Masarykova univerzita / Katedra tÄ›lesnĂ© vĂ˝chovy","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14650.xlsx"
"Masarykova univerzita / LĂ©kaĹ™skĂˇ fakulta","1Â 530,412","27Â 064,114","0,000","3Â 663,446","921,364","78,383","31Â 727,307","H14_orjk_14110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14110.xlsx"
"Masarykova univerzita / Mendelovo muzeum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14760.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14760.xlsx"
"Masarykova univerzita / MezinĂˇrodnĂ­ letnĂ­ Ĺˇkola muzeologie ISSOM","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14680.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14680.xlsx"
"Masarykova univerzita / MezinĂˇrodnĂ­ politologickĂ˝ Ăşstav","1,000","44,319","0,000","4,432","0,000","0,000","48,751","H14_orjk_14630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14630.xlsx"
"Masarykova univerzita / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","2Â 000,000","0,000","0,000","0,000","2Â 000,000","H14_ico_00216224_.xlsx","http://www.isvav.cz/h14/export/H14_ico_00216224_.xlsx"
"Masarykova univerzita / PedagogickĂˇ fakulta","648,826","11Â 148,478","0,000","1Â 280,264","11,434","757,827","13Â 198,003","H14_orjk_14410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14410.xlsx"
"Masarykova univerzita / PoradenskĂ© centrum pro studenty","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14670.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14670.xlsx"
"Masarykova univerzita / PracoviĹˇtÄ› UNESCO - UNESCO CHAIR","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14690.xlsx"
"Masarykova univerzita / PrĂˇvnickĂˇ fakulta","664,569","9Â 738,734","0,000","992,983","2,482","0,000","10Â 734,199","H14_orjk_14220.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14220.xlsx"
"Masarykova univerzita / PĹ™Ă­rodovÄ›deckĂˇ fakulta","1Â 785,239","84Â 495,390","0,000","11Â 689,651","2Â 167,613","2Â 322,396","100Â 675,050","H14_orjk_14310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14310.xlsx"
"Masarykova univerzita / RektorĂˇt","1,000","28,378","0,000","2,838","0,000","0,000","31,216","H14_orjk_14810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14810.xlsx"
"Masarykova univerzita / SprĂˇva univerzitnĂ­ho kampusu Bohunice","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14840.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14840.xlsx"
"Masarykova univerzita / StĹ™edisko pro pomoc studentĹŻm se specifickĂ˝mi nĂˇroky","11,000","190,171","0,000","14,974","0,000","0,000","205,145","H14_orjk_14750.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14750.xlsx"
"Masarykova univerzita / StĹ™edoevropskĂ˝ technologickĂ˝ institut","283,419","18Â 098,339","0,000","1Â 161,125","583,559","141,109","19Â 984,132","H14_orjk_14740.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14740.xlsx"
"Masarykova univerzita / UniverzitnĂ­ centrum TelÄŤ","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14770.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14770.xlsx"
"Masarykova univerzita / Ăšstav vĂ˝poÄŤetnĂ­ techniky","28,794","380,937","0,000","83,846","380,685","291,931","1Â 137,399","H14_orjk_14610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14610.xlsx"
"Masarykova univerzita / VydavatelstvĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_14830.xlsx","http://www.isvav.cz/h14/export/H14_orjk_14830.xlsx"
"MasarykĹŻv onkologickĂ˝ Ăşstav","139,191","3Â 520,013","0,000","486,098","362,804","0,000","4Â 368,915","H14_ico_00209805.xlsx","http://www.isvav.cz/h14/export/H14_ico_00209805.xlsx"
"MasarykĹŻv Ăşstav a Archiv AV ÄŚR, v. v. i.","180,770","4Â 086,606","0,000","393,163","0,000","0,000","4Â 479,769","H14_ico_67985921.xlsx","http://www.isvav.cz/h14/export/H14_ico_67985921.xlsx"
"MatematickĂ˝ Ăşstav AV ÄŚR, v. v. i.","470,124","18Â 092,310","4Â 000,000","2Â 040,356","0,000","123,294","24Â 255,960","H14_ico_67985840.xlsx","http://www.isvav.cz/h14/export/H14_ico_67985840.xlsx"
"MATERIĂLOVĂť A METALURGICKĂť VĂťZKUM s.r.o.","42,067","284,582","0,000","200,567","440,169","1Â 147,595","2Â 072,913","H14_ico_25870807.xlsx","http://www.isvav.cz/h14/export/H14_ico_25870807.xlsx"
"MemBrain s.r.o.","0,111","6,202","0,000","149,081","1Â 291,590","738,262","2Â 185,135","H14_ico_28676092.xlsx","http://www.isvav.cz/h14/export/H14_ico_28676092.xlsx"
"Mendelova univerzita v BrnÄ› / AgronomickĂˇ fakulta","951,859","20Â 339,834","0,000","2Â 232,241","1Â 072,268","799,018","24Â 443,361","H14_orjk_43210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43210.xlsx"
"Mendelova univerzita v BrnÄ› / BotanickĂˇ zahrada a arboretum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43630.xlsx"
"Mendelova univerzita v BrnÄ› / Centrum transferu technologiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43680.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43680.xlsx"
"Mendelova univerzita v BrnÄ› / Fakulta regionĂˇlnĂ­ho rozvoje a mezinĂˇrodnĂ­ch studiĂ­","80,532","1Â 154,902","0,000","86,961","2,306","0,000","1Â 244,169","H14_orjk_43310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43310.xlsx"
"Mendelova univerzita v BrnÄ› / Institut celoĹľivotnĂ­ho vzdÄ›lĂˇvĂˇnĂ­","18,414","409,690","0,000","29,581","0,000","0,000","439,271","H14_orjk_43670.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43670.xlsx"
"Mendelova univerzita v BrnÄ› / LesnickĂˇ a dĹ™evaĹ™skĂˇ fakulta","667,273","15Â 524,405","0,000","1Â 696,139","767,359","2Â 003,744","19Â 991,647","H14_orjk_43410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43410.xlsx"
"Mendelova univerzita v BrnÄ› / (nerozliĹˇenĂˇ souÄŤĂˇst)","1,527","41,323","0,000","6,292","0,000","0,000","47,615","H14_ico_62156489_.xlsx","http://www.isvav.cz/h14/export/H14_ico_62156489_.xlsx"
"Mendelova univerzita v BrnÄ› / ProvoznÄ› ekonomickĂˇ fakulta","575,966","7Â 890,683","0,000","744,519","63,731","169,579","8Â 868,512","H14_orjk_43110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43110.xlsx"
"Mendelova univerzita v BrnÄ› / RektorĂˇt","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43810.xlsx"
"Mendelova univerzita v BrnÄ› / Ĺ kolskĂ˝ zemÄ›dÄ›lskĂ˝ podnik Lednice","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43640.xlsx"
"Mendelova univerzita v BrnÄ› / Ĺ kolskĂ˝ zemÄ›dÄ›lskĂ˝ podnik MasarykĹŻv les KĹ™tiny","0,000","0,000","0,000","10,679","68,837","49,151","128,667","H14_orjk_43660.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43660.xlsx"
"Mendelova univerzita v BrnÄ› / Ĺ kolskĂ˝ zemÄ›dÄ›lskĂ˝ podnik Ĺ˝abÄŤice","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43650.xlsx"
"Mendelova univerzita v BrnÄ› / Ăšstav vÄ›decko-pedagogickĂ˝ch informacĂ­ a sluĹľeb","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43610.xlsx"
"Mendelova univerzita v BrnÄ› / Ăšstav vĂ˝poÄŤetnĂ­ techniky","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_43620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43620.xlsx"
"Mendelova univerzita v BrnÄ› / ZahradnickĂˇ fakulta (Lednice)","270,638","3Â 460,177","0,000","437,567","668,825","540,714","5Â 107,283","H14_orjk_43510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_43510.xlsx"
"METCENAS, o.p.s.","0,000","0,000","0,000","0,000","4,217","0,000","4,217","H14_ico_24839523.xlsx","http://www.isvav.cz/h14/export/H14_ico_24839523.xlsx"
"MetropolitnĂ­ univerzita Praha, o.p.s.","165,707","3Â 310,201","0,000","286,791","0,000","0,000","3Â 596,992","H14_ico_26482789.xlsx","http://www.isvav.cz/h14/export/H14_ico_26482789.xlsx"
"MikrobiologickĂ˝ Ăşstav AV ÄŚR, v. v. i.","482,701","34Â 776,930","0,000","4Â 060,788","1Â 101,130","760,576","40Â 699,424","H14_ico_61388971.xlsx","http://www.isvav.cz/h14/export/H14_ico_61388971.xlsx"
"Mikropur, s.r.o.","0,000","0,000","0,000","3,550","61,010","0,000","64,560","H14_ico_60111623.xlsx","http://www.isvav.cz/h14/export/H14_ico_60111623.xlsx"
"Ministerstvo obrany / Univerzita obrany - Fakulta vojenskĂ©ho leadershipu","267,228","3Â 019,220","0,000","363,577","72,250","322,025","3Â 777,072","H14_orjk_G42.xlsx","http://www.isvav.cz/h14/export/H14_orjk_G42.xlsx"
"Ministerstvo obrany / Univerzita obrany - Fakulta vojenskĂ©ho zdravotnictvĂ­ Hradec KrĂˇlovĂ©","374,942","8Â 930,712","0,000","1Â 131,109","235,174","43,838","10Â 340,833","H14_orjk_G44.xlsx","http://www.isvav.cz/h14/export/H14_orjk_G44.xlsx"
"Ministerstvo obrany / Univerzita obrany - Fakulta vojenskĂ˝ch technologiĂ­ Brno","493,191","5Â 725,472","0,000","1Â 073,866","160,885","2Â 556,165","9Â 516,388","H14_orjk_G43.xlsx","http://www.isvav.cz/h14/export/H14_orjk_G43.xlsx"
"Ministerstvo obrany / Univerzita obrany  (nerozliĹˇenĂˇ souÄŤĂˇst)","4,000","81,327","0,000","33,637","137,620","138,498","391,082","H14_orjk_G38_.xlsx","http://www.isvav.cz/h14/export/H14_orjk_G38_.xlsx"
"Ministerstvo obrany / Univerzita obrany - Ăšstav ochrany proti zbranĂ­m hromadnĂ©ho niÄŤenĂ­","16,458","221,517","0,000","26,942","0,000","81,180","329,639","H14_orjk_G45.xlsx","http://www.isvav.cz/h14/export/H14_orjk_G45.xlsx"
"Ministerstvo vnitra / GenerĂˇlnĂ­ Ĺ™editelstvĂ­ HZS - Institut ochrany obyvatelstva","16,659","359,430","0,000","287,498","1Â 447,303","842,721","2Â 936,952","H14_orjk_K13.xlsx","http://www.isvav.cz/h14/export/H14_orjk_K13.xlsx"
"Ministerstvo vnitra / GenerĂˇlnĂ­ Ĺ™editelstvĂ­ HZS - TechnickĂ˝ Ăşstav poĹľĂˇrnĂ­ ochrany","15,625","72,896","0,000","89,070","361,345","669,003","1Â 192,314","H14_orjk_K02.xlsx","http://www.isvav.cz/h14/export/H14_orjk_K02.xlsx"
"Ministerstvo vnitra / Policie ÄŚR KriminalistickĂ˝ Ăşstav Praha","16,126","1Â 278,792","0,000","183,462","954,437","24,464","2Â 441,155","H14_orjk_K01.xlsx","http://www.isvav.cz/h14/export/H14_orjk_K01.xlsx"
"MoravskĂˇ galerie v BrnÄ›","31,000","803,291","0,000","97,043","14,569","0,000","914,903","H14_ico_00094871.xlsx","http://www.isvav.cz/h14/export/H14_ico_00094871.xlsx"
"MoravskĂˇ zemskĂˇ knihovna v BrnÄ›","41,582","939,356","0,000","167,684","298,505","436,878","1Â 842,423","H14_ico_00094943.xlsx","http://www.isvav.cz/h14/export/H14_ico_00094943.xlsx"
"MoravskĂ© zemskĂ© muzeum","209,754","3Â 535,527","0,000","355,388","11,552","0,000","3Â 902,467","H14_ico_00094862.xlsx","http://www.isvav.cz/h14/export/H14_ico_00094862.xlsx"
"Muzeum vĂ˝chodnĂ­ch ÄŚech v Hradci KrĂˇlovĂ©","1,000","25,262","0,000","2,526","0,000","0,000","27,788","H14_ico_00088382.xlsx","http://www.isvav.cz/h14/export/H14_ico_00088382.xlsx"
"Muzeum VysoÄŤiny Jihlava, pĹ™Ă­spÄ›vkovĂˇ organizace","3,000","91,229","0,000","9,328","14,526","0,000","115,083","H14_ico_00090735.xlsx","http://www.isvav.cz/h14/export/H14_ico_00090735.xlsx"
"NĂˇrodnĂ­ archiv","91,745","1Â 333,656","0,000","167,529","167,322","114,677","1Â 783,184","H14_ico_70979821.xlsx","http://www.isvav.cz/h14/export/H14_ico_70979821.xlsx"
"NĂˇrodnĂ­ filmovĂ˝ archiv","1,000","44,319","0,000","10,034","29,327","0,000","83,680","H14_ico_00057266.xlsx","http://www.isvav.cz/h14/export/H14_ico_00057266.xlsx"
"NĂˇrodnĂ­ galerie v Praze","74,858","2Â 287,268","0,000","227,108","135,126","0,000","2Â 649,502","H14_ico_00023281.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023281.xlsx"
"NĂˇrodnĂ­ informaÄŤnĂ­ a poradenskĂ© stĹ™edisko pro kulturu","0,000","0,000","0,000","1,108","0,000","0,000","1,108","H14_ico_14450551.xlsx","http://www.isvav.cz/h14/export/H14_ico_14450551.xlsx"
"NĂˇrodnĂ­ knihovna ÄŚeskĂ© republiky","24,503","317,455","0,000","141,627","909,553","589,872","1Â 958,507","H14_ico_00023221.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023221.xlsx"
"NĂˇrodnĂ­ lĂ©kaĹ™skĂˇ knihovna","0,000","0,000","0,000","3,001","36,017","0,000","39,018","H14_ico_00023825.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023825.xlsx"
"NĂˇrodnĂ­ muzeum","511,504","10Â 943,356","0,000","1Â 103,900","648,135","11,727","12Â 707,118","H14_ico_00023272.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023272.xlsx"
"NĂˇrodnĂ­ pamĂˇtkovĂ˝ Ăşstav","313,192","4Â 456,273","0,000","583,648","1Â 382,371","694,712","7Â 117,004","H14_ico_75032333.xlsx","http://www.isvav.cz/h14/export/H14_ico_75032333.xlsx"
"NĂˇrodnĂ­ pedagogickĂ© muzeum a knihovna J. A. KomenskĂ©ho","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_61387169.xlsx","http://www.isvav.cz/h14/export/H14_ico_61387169.xlsx"
"NĂˇrodnĂ­ technickĂˇ knihovna","5,695","77,839","0,000","8,142","0,000","0,000","85,981","H14_ico_61387142.xlsx","http://www.isvav.cz/h14/export/H14_ico_61387142.xlsx"
"NĂˇrodnĂ­ technickĂ© museum","49,408","933,838","0,000","93,740","237,608","0,000","1Â 265,186","H14_ico_00023299.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023299.xlsx"
"NĂˇrodnĂ­ Ăşstav duĹˇevnĂ­ho zdravĂ­","177,225","3Â 327,887","0,000","449,753","1Â 169,232","11,289","4Â 958,161","H14_ico_00023752.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023752.xlsx"
"NĂˇrodnĂ­ Ăşstav lidovĂ© kultury","37,438","874,633","0,000","82,724","156,372","0,000","1Â 113,729","H14_ico_00094927.xlsx","http://www.isvav.cz/h14/export/H14_ico_00094927.xlsx"
